fecha,cantidad,descripcion,es_producto
15 sep 2025,5.0,Capas amarilla,True
15 sep 2025,4.0,Fajas,True
15 sep 2025,4.0,Pares de guantes,True
15 sep 2025,5.0,Bolsas de pines,True
15 sep 2025,2.0,Azadones,True
15 sep 2025,3.0,Hilos amarillo,True
15 sep 2025,2.0,Machetes,True
15 sep 2025,2.0,Mazos,True
15 sep 2025,2.0,Rastrillos de jardinería,True
15 sep 2025,1.0,Pala,True
15 sep 2025,,"Curso de soldadura Wilme, primera clase",False
17 sep 2025,1.0,"Tubo, un tramo 5"" de tubería, grado 6",True
17 sep 2025,,Arena y piedra — hora 2:40 p.m.,False
18 sep 2025,,"Tubos de concreto 6"" grande",True
19 sep 2025,,"Arena, 2 volquetas",True
20 sep 2025,,Gravilla,True
22 sep 2025,,Gasolina,True
22 sep 2025,30.0,Plaquetas,True
23 sep 2025,,Maceta / piedra grande,True
26 oct 2025,,Gravilla,True
27 sep 2025,60.0,"Descarga de plaquetas (60), 15 postes; descargaron 6 personas a $15 c/u = $90",False
30 sep 2025,50.0,Bultos de cemento — Ferretería Mayor,True
30 sep 2025,,Veneno de plantas,True
30 sep 2025,,Impermeabilizante,True
1 oct 2025,,Vino la jefa,False
1 oct 2025,,Impermeabilizante,True
1 oct 2025,,Plastificante,True
1 oct 2025,,Pomo chico de soldadura,True
1 oct 2025,,Grasa,True
1 oct 2025,,Piedra grande,True
2 oct 2025,,Llovió algo fuerte,False
1 oct 2025,1.0,Gasolina,True
1 oct 2025,1.0,Soporte de carretilla,True
1 oct 2025,2.0,Bujías de congeladora,True
1 oct 2025,1.0,Veneno para árboles,True
1 oct 2025,1.0,Hormiguicida 10 WP,True
1 oct 2025,1.0,Raizas,True
20 oct 2025,3.0,Aceites 2T nuevos,True
20 oct 2025,1.0,Aceite 4T motor de congeladora grande,True
20 oct 2025,5.0,Cloro en pastillas,True
20 oct 2025,24.0,Vasos plásticos blancos,True
20 oct 2025,1.0,Lubricante para todo,True
20 oct 2025,1.0,Atomizador plástico,True
20 oct 2025,1.0,Papel toalla de cocina,True
20 oct 2025,1.0,Piedra grande,True
20 oct 2025,58.0,Gaviones,True
20 oct 2025,1.0,Malla negra,True
6 oct 2025,4.0,Llaves de dos,True
6 oct 2025,2.0,Té de 2,True
17 oct 2025,1.0,Llego prueba,False
17 sep 2025,1.0,Contra hembra,True
17 sep 2025,1.0,Contador macho,True
