sku,nombre,categoria,unidad,cantidad,requiere_revision,motivo_revision,hoja_origen,fila_origen,nota_origen
CON-001,Aceite 10W-30,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,7,
CON-002,Aceite de motor 20W-50,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,12,
CON-003,Aceite de motor Premium 4-Cycle,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,15,
CON-004,Aceite de motor pequeño Premium 4-Cycle,Consumibles,UND,1.0,False,,Inventario Herramientas,8,13 de sep 2025
CON-005,Aceite dos tiempos 2T,Consumibles,UND,1.0,False,,Inventario Herramientas,15,9 sep 2025
CON-006,Aceites y mecha 2T Two Cycle dos ciclos,Consumibles,UND,2.0,False,,Inventario Herramientas,7,13 de sep 2025
CON-007,Acelerante,Consumibles,UND,4.0,False,,Inventario Herramientas,19,9 sep 2025
CON-008,Acelerante de Swiru,Consumibles,UND,1.0,False,,Inventario Herramientas,26,
CON-009,Atomizador,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general | coincide con una compra del 20 oct 2025; verificar que no se cuente dos veces",Inventario 5 Oct 2025,22,
CON-010,Bolsa de hormiguicida 10WP,Consumibles,PAQ,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,25,
CON-011,Botella de pegamento chica - PVC,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,17,
CON-012,Brocas de metal,Consumibles,UND,2.0,False,,Inventario Herramientas,6,13 de sep 2025
CON-013,Brocas grandes total,Consumibles,UND,2.0,False,,Inventario Cont.,16,17 de nov 2025
CON-014,Bujía NGK,Consumibles,UND,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,14,
CON-015,Bujías de Swiru,Consumibles,UND,2.0,False,,Inventario Herramientas,25,
CON-016,Caja de electrodos total,Consumibles,CAJA,1.0,True,"proviene del conteo fechado 5-oct-2025, puede solaparse con el inventario general",Inventario 5 Oct 2025,13,
CON-017,Disco de flexible grande verde,Consumibles,UND,2.0,False,,Inventario Herramientas,30,
CON-018,Discos de concreto,Consumibles,UND,3.0,True,aparece 2 veces — Inventario Herramientas f11: 3.0 / Inventario 5 Oct 2025 f19: 2.0,Inventario Herramientas,11,9 sep 2025
