hoja,fila,detalle
(varias),-,DUPLICADO 'Carretillas (una amarilla y otras de metal)' → Inventario Equipo f14: 4.0 / Inventario Herramientas f28: 4.0 / Inventario 5 Oct 2025 f31: 2.0
(varias),-,DUPLICADO 'Destornilladores chicos' → Inventario Herramientas f29: 1.0 / Inventario 5 Oct 2025 f30: nan
(varias),-,DUPLICADO 'Discos de concreto' → Inventario Herramientas f11: 3.0 / Inventario 5 Oct 2025 f19: 2.0
(varias),-,DUPLICADO 'Lámpara nocturna prolatex' → Inventario Equipo f25: 1.0 / Inventario Equipo f26: 1.0
(varias),-,DUPLICADO 'Lijas' → Máquina y Herramientas f5: 2.0 / Inventario Herramientas f5: 2.0
(varias),-,"DUPLICADO 'Tee de 4""' → Inventario Cont. f10: 2.0 / Inventario Cont. f11: 1.0"
(varias),-,DUPLICADO 'Tubos de (descripción no legible)' → Tubos y Materiales f5: 10.0 / Tubos y Materiales f6: 4.0 / Tubos y Materiales f7: 4.0
(varias),-,DUPLICADO 'WD-40' → Inventario Herramientas f14: 1.0 / Inventario 5 Oct 2025 f9: 3.0
(varias),-,SIMILAR (86%) 'taladro verde chico verde' ~ 'taladro chico verde' — revisar si es el mismo artículo
(varias),-,SIMILAR (89%) 'aceite de motor pequeno premium 4 cycle' ~ 'aceite de motor premium 4 cycle' — revisar si es el mismo artículo
(varias),-,SIMILAR (97%) 'impermeabilizantes' ~ 'impermeabilizante' — revisar si es el mismo artículo
(varias),-,SIMILAR (87%) 'disco de flexible grande verde' ~ 'discos de flexible grande' — revisar si es el mismo artículo
(varias),-,SIMILAR (96%) 'tubotic sdr26 c c 4 x 20' ~ 'tubotic sdr26 c c 2 x 20' — revisar si es el mismo artículo
